city,brand,title,start_time,distance,volumn,gear,tag,price
北京二手车,奔驰,S级 2018款 S级 S450L 4MATIC,2018年,4.4万公里,3.0升,自动,90天可退,101
北京二手车,丰田,兰德酷路泽 2018款 兰德酷路泽 GXR 八气囊后挂,2019年,0.4万公里,4.0升,自动,90天可退,76.5
北京二手车,路虎,揽胜 2017款 3.0 V6 SC Vogue SE 创世加长版,2018年,4万公里,3.0升,自动,90天可退,110
北京二手车,奥迪,Q7 2018款 40 TFSI S line运动型,2018年,1.26万公里,2.0升,自动,90天可退,53.38
北京二手车,北汽新能源,EC系列 2017款 EC180 灵秀版,2017年,0.7万公里,纯电动,自动,好评商家,2.58
北京二手车,宾利,慕尚 2015款 6.8T 自动 标准版,2015年,3万公里,6.8升,自动,高配,235
北京二手车,宝马,5系 2006款 530i,2006年,16万公里,3.0升,自动,高配,5.1
北京二手车,大众,帕萨特 2006款 1.8T 手动 标准版,2006年,13万公里,1.8升,手动,好评商家,1
北京二手车,北汽制造,BJ 212 2018款 212 2.0L 方门,2018年,0.29万公里,2.0升,手动,好评商家,6
北京二手车,路虎,揽胜 2004款 4.4 自动 顶级版,2006年,10万公里,4.4升,自动,高配,14.5
北京二手车,奔驰,别克 英朗GT 2019款 15T 双离合互联精英型,2013年,3.33万公里,1.6升,自动,高配,11.8
北京二手车,日产,A级(进口) 2013款 A 180 时尚型,2005年,14万公里,2.3升,自动,好评商家,0.88
北京二手车,奇瑞,天籁 2005款 230JM,2019年,0.6万公里,1.5升,手动,好评商家,5.2
北京二手车,吉普,艾瑞泽5 2019款 1.5L 手动新青春版 国VI,2010年,9万公里,3.7升,自动,好评商家,8.3
北京二手车,奥迪,大切诺基(进口) 2010款 3.7L,2006年,12万公里,3.6升,自动,高配,8.5
北京二手车,日产,Q7 2006款 3.6 FSI quattro 基本型,2015年,8万公里,2.0升,自动,高配,12.2
北京二手车,奔驰,天籁 2014款 2.0L XL Upper科技版,2006年,12万公里,3.0升,自动,高配,10
北京二手车,本田,S级 2006款 S 300,2007年,15万公里,2.0升,手动,个人,2.4
北京二手车,宝马,雅阁 2007款 2.0L 手动普通精典版,2006年,8万公里,3.0升,自动,高配,6.5
北京二手车,宝马,X5 2006款 3.0i,2017年,4万公里,2.0升,自动,好评商家,40
北京二手车,宝马,5系GT 2017款 528i 领先型,2009年,9万公里,3.0升,自动,好评商家,12.5
北京二手车,日产,7系 2008款 730Li领先型,2015年,8万公里,3.5升,自动,好评商家,30.2
北京二手车,路虎,贵士 2015款 3.5L SL,2013年,10万公里,5.0升,自动,高配,68
北京二手车,奔驰,揽胜 2013款 5.0 V8 SC Vogue SE,2017年,1.88万公里,2.0升,自动,好评商家,27.5
北京二手车,别克,C级 2017款 改款 C 200 L 运动版,2017年,6.2万公里,2.0升,自动,好评商家,16.5
北京二手车,别克,君越 2016款 28T 精英型,2015年,6.2万公里,1.6升,自动,好评商家,9.38
北京二手车,日产,君威 2015款 1.6T 领先技术型,2015年,4.1万公里,3.5升,自动,好评商家,32.5
北京二手车,宝马,贵士 2015款 3.5L SL,2016年,4.92万公里,2.0升,自动,好评商家,27.5
北京二手车,大众,5系 2017款 520Li 典雅型,2007年,12万公里,1.6升,手动,好评商家,1.28
北京二手车,宝马,捷达 2007款 CIF 1.6 手动 都市春天,2009年,10.5万公里,3.0升,自动,好评商家,10.9
北京二手车,丰田,5系 2009款 530Li 豪华型,2015年,9万公里,2.0升,自动,好评商家,23.6
北京二手车,本田,汉兰达 2015款 2.0T 四驱豪华导航版 7座,2012年,6万公里,2.4升,自动,好评商家,12.2
北京二手车,奔驰,奥德赛 2013款 2.4L 明鉴领秀版,2016年,5.5万公里,3.0升,自动,好评商家,34.5
北京二手车,大众,R级 2015款 R 320 4MATIC 豪华型,2004年,11.8万公里,4.2升,自动,高配,11.8
北京二手车,大众,途锐 2005款 4.2 手自一体 四驱顶配版,2013年,7万公里,1.6升,手动,好评商家,4.98
北京二手车,现代,新宝来 2013款 1.6L 手动舒适型,2010年,9万公里,2.4升,自动,高配,7.28
北京二手车,本田,新胜达 2010款 2.4 手自一体 7座四驱豪华版,2010年,11万公里,2.4升,自动,好评商家,7
北京二手车,宝马,思铂睿 2009款 2.4L 豪华版,2013年,8万公里,2.0升,自动,高配,22.8
北京二手车,荣威,Z4 2013款 sDrive20i领先型,2009年,11万公里,1.8升,自动,90天可退,2.4
北京二手车,奔驰,550 2009款 550S 1.8L 自动启臻版,2017年,4.63万公里,2.0升,自动,高配,30.28
北京二手车,奔驰,GLC级 2017款 GLC 200 4MATIC,2017年,1.7万公里,3.0升,自动,好评商家,68.8
北京二手车,保时捷,GLE级 2017款 GLE 400 4MATIC 轿跑SUV,2015年,6.5万公里,2.0升,自动,90天可退,42
北京二手车,江淮,Macan 2014款 Macan 2.0T,2015年,9万公里,2.8升,手动,高配,10.9
北京二手车,奔驰,星锐 2013款 2.8T 手动 星快运,2017年,4.63万公里,2.0升,自动,高配,30.28
北京二手车,别克,GLC级 2017款 GLC 200 4MATIC,2014年,4万公里,1.5升,手动,高配,4.5
北京二手车,奔驰,凯越 2013款 1.5L 手动尊享型,2018年,2.4万公里,3.0升,自动,好评商家,69.8
北京二手车,宝马,GLE级 2018款 GLE 400 4MATIC 臻藏版,2008年,16万公里,2.5升,自动,好评商家,8.2
北京二手车,保时捷,5系 2008款 523Li 豪华型,2019年,1万公里,3.0升,自动,好评商家,97.5
北京二手车,奥迪,Cayenne 2019款 3.0T,2006年,15万公里,2.4升,自动,高配,5.5
北京二手车,奔驰,A6L 2005款 2.4L 技术领先型,2015年,5.9万公里,1.6升,自动,90天可退,21.7
北京二手车,路虎,C级 2015款 改款 C 180 L 运动型,2018年,3.5万公里,3.0升,自动,90天可退,116.8
北京二手车,奔驰,揽胜 2018款 3.0 V6 SC Vogue 传世版,2016年,4.4万公里,2.0升,自动,高配,53.5
北京二手车,路虎,奇瑞发现神行 2016款 2.0T HSE LUXURY,2015年,6万公里,2.0升,自动,90天可退,23.08
北京二手车,本田,雅阁 2007款 2.0L 自动标准版,2008年,15万公里,2.0升,自动,好评商家,2.85
北京二手车,大通,G10 2016款 2.0T 自动 精英版,2016年,0.06万公里,2.0升,自动,高配,25.3
北京二手车,长城,炫丽 2009款 1.5 手动 豪华版,2009年,9万公里,1.5升,手动,好评商家,0.68
北京二手车,福特,福克斯三厢 2006款 1.8 自动 时尚型,2006年,12万公里,1.8升,自动,高配,1.6
北京二手车,奥迪,A4 2004款 1.8T 标准型,2004年,12.5万公里,1.8升,自动,90天可退,1.5
北京二手车,宝马,5系 2013款 520Li 典雅型,2013年,12.2万公里,2.0升,自动,高配,20.6
北京二手车,大众,速腾 2009款 2.0L 自动真皮版,2009年,8万公里,2.0升,自动,90天可退,3.25
北京二手车,宝马,5系 2007款 525Li 典雅型,2007年,8万公里,2.5升,自动,高配,6.8
北京二手车,金杯,阁瑞斯MPV 2015款 2.2 手动 经典版 豪华型长轴11座,2016年,3.1万公里,2.2升,手动,高配,7.65
北京二手车,本田,艾力绅 2015款 2.4L VTiS尊贵版,2015年,8.7万公里,2.4升,自动,90天可退,19.68
北京二手车,雷诺,纬度 2011款 2.5 自动 旗舰导航版,2011年,14.83万公里,2.5升,自动,好评商家,6.69
北京二手车,奔驰,唯雅诺 2015款 3.0L 合伙人版,2016年,3.6万公里,3.0升,自动,90天可退,27.8
北京二手车,日产,天籁 2015款 公爵 2.5L XVVIP欧冠尊领版,2015年,7万公里,2.5升,自动,高配,14.5
北京二手车,雪铁龙,世嘉两厢 2010款 两厢 1.6L 手动尚乐版,2011年,10万公里,1.6升,手动,高配,1.78
北京二手车,奔驰,GLK级 2013款 GLK 300 4MATIC 动感天窗型,2014年,5.6万公里,3.0升,自动,高配,21.68
北京二手车,别克,GL8 2006款 陆尊 3.0L GT 精英版,2007年,15万公里,3.0升,自动,90天可退,2.25
北京二手车,奔驰,GLA级 2017款 GLA 200 时尚型,2017年,1.6万公里,1.6升,自动,好评商家,19.8
